<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.41045,0.41543,0.40548,0.41045,23979532,0
AAPL.US,D,19840910,000000,0.41045,0.41169,0.40056,0.40799,18612029,0
AAPL.US,D,19840911,000000,0.41169,0.42286,0.41169,0.41543,43888268,0
AAPL.US,D,19840912,000000,0.41543,0.4179,0.403,0.403,38340145,0
AAPL.US,D,19840913,000000,0.42537,0.42657,0.42537,0.42537,59713359,0
AAPL.US,D,19840914,000000,0.42657,0.44144,0.42657,0.43154,71099911,0
AAPL.US,D,19840917,000000,0.4427,0.4489,0.4427,0.4427,55513539,0
AAPL.US,D,19840918,000000,0.4427,0.44643,0.42657,0.42657,28024505,0
AAPL.US,D,19840919,000000,0.42657,0.43154,0.4179,0.4179,30611478,0
AAPL.US,D,19840920,000000,0.41915,0.42286,0.41915,0.41915,19057182,0
AAPL.US,D,19840921,000000,0.41915,0.43154,0.41045,0.41543,28753487,0
AAPL.US,D,19840924,000000,0.41543,0.4179,0.41169,0.41169,22753788,0
AAPL.US,D,19840925,000000,0.41045,0.41045,0.403,0.403,48036477,0
AAPL.US,D,19840926,000000,0.403,0.4216,0.39809,0.39809,31959807,0
AAPL.US,D,19840927,000000,0.39809,0.40056,0.39809,0.39809,30508257,0
AAPL.US,D,19840928,000000,0.39809,0.39809,0.38072,0.38811,67222669,0
AAPL.US,D,19841001,000000,0.38691,0.38691,0.37945,0.37945,28159977,0
AAPL.US,D,19841002,000000,0.38193,0.39559,0.38193,0.38193,34056468,0
AAPL.US,D,19841003,000000,0.38811,0.39434,0.38811,0.38811,34682260,0
AAPL.US,D,19841004,000000,0.39307,0.39559,0.39307,0.39307,36140254,0
AAPL.US,D,19841005,000000,0.39307,0.39307,0.38193,0.38442,28101923,0
AAPL.US,D,19841008,000000,0.38442,0.38691,0.38442,0.38442,13528406,0
AAPL.US,D,19841009,000000,0.38442,0.38691,0.38072,0.38072,36075736,0
AAPL.US,D,19841010,000000,0.38072,0.38072,0.36955,0.36955,105078972,0
AAPL.US,D,19841011,000000,0.36955,0.37945,0.36707,0.36707,52636258,0
AAPL.US,D,19841012,000000,0.36707,0.36955,0.34845,0.35093,76551277,0
AAPL.US,D,19841015,000000,0.37076,0.37448,0.37076,0.37076,70061250,0
AAPL.US,D,19841016,000000,0.37076,0.37202,0.36955,0.36955,33991973,0
AAPL.US,D,19841017,000000,0.38442,0.38691,0.38442,0.38442,45114036,0
AAPL.US,D,19841018,000000,0.39559,0.39809,0.39559,0.39559,71183778,0
AAPL.US,D,19841019,000000,0.39559,0.42286,0.39434,0.39559,93924664,0
AAPL.US,D,19841022,000000,0.39559,0.40177,0.39307,0.39307,33050081,0
AAPL.US,D,19841023,000000,0.40177,0.40548,0.40177,0.40177,53694280,0
AAPL.US,D,19841024,000000,0.40548,0.41045,0.40548,0.40548,48100991,0
AAPL.US,D,19841025,000000,0.40548,0.40548,0.3906,0.3906,45552728,0
AAPL.US,D,19841026,000000,0.3906,0.3906,0.37945,0.38072,33075875,0
AAPL.US,D,19841029,000000,0.38193,0.38442,0.38193,0.38193,14586420,0
AAPL.US,D,19841030,000000,0.38691,0.3906,0.38691,0.38691,21482873,0
AAPL.US,D,19841031,000000,0.38691,0.3906,0.38442,0.38442,17347583,0
AAPL.US,D,19841101,000000,0.38691,0.3906,0.38691,0.38691,13547752,0
AAPL.US,D,19841102,000000,0.38691,0.38811,0.38193,0.38442,7973822,0
AAPL.US,D,19841105,000000,0.38442,0.39307,0.38193,0.38193,30346977,0
AAPL.US,D,19841106,000000,0.40548,0.40799,0.40548,0.40548,64893756,0
AAPL.US,D,19841107,000000,0.40548,0.40799,0.39809,0.39809,66687215,0
AAPL.US,D,19841108,000000,0.39809,0.39809,0.38193,0.38193,25379461,0
AAPL.US,D,19841109,000000,0.38193,0.38442,0.35591,0.35962,84712192,0
AAPL.US,D,19841112,000000,0.37202,0.37448,0.37202,0.37202,32617834,0
AAPL.US,D,19841113,000000,0.37202,0.38072,0.36334,0.36334,36482178,0
AAPL.US,D,19841114,000000,0.36707,0.37076,0.36707,0.36707,30050200,0
AAPL.US,D,19841115,000000,0.36707,0.37076,0.36707,0.36707,30701788,0
AAPL.US,D,19841116,000000,0.36707,0.37202,0.35715,0.35962,47739720,0
AAPL.US,D,19841119,000000,0.35962,0.36209,0.33855,0.33855,67100093,0
AAPL.US,D,19841120,000000,0.34968,0.35093,0.34968,0.34968,75815818,0
AAPL.US,D,19841121,000000,0.35715,0.35962,0.35715,0.35715,51475017,0
AAPL.US,D,19841123,000000,0.36209,0.37202,0.36209,0.36707,39482021,0
AAPL.US,D,19841126,000000,0.37076,0.37076,0.37076,0.37076,28985755,0
AAPL.US,D,19841127,000000,0.38072,0.38442,0.38072,0.38072,36695062,0
AAPL.US,D,19841128,000000,0.40056,0.41045,0.40056,0.40056,118233215,0
AAPL.US,D,19841129,000000,0.40056,0.40056,0.39307,0.39307,50365407,0
AAPL.US,D,19841130,000000,0.39307,0.39559,0.38072,0.38193,31308226,0
AAPL.US,D,19841203,000000,0.38193,0.38442,0.37699,0.37699,28224492,0
AAPL.US,D,19841204,000000,0.38442,0.39307,0.38442,0.38442,34669352,0
AAPL.US,D,19841205,000000,0.403,0.403,0.403,0.403,75719061,0
